,B23025_001E,B23025_002E,B23025_003E,B23025_004E,B23025_005E,B23025_006E,B23025_007E
"Block Group 2, Census Tract 41.03, Greene County, Missouri: Summary level: 150, state:29> county:077> tract:004103> block group:2",3392,2467,2467,2452,15,0,925
"Block Group 1, Census Tract 48.02, Greene County, Missouri: Summary level: 150, state:29> county:077> tract:004802> block group:1",1876,1312,1312,1312,0,0,564
"Block Group 2, Census Tract 9, Greene County, Missouri: Summary level: 150, state:29> county:077> tract:000900> block group:2",531,352,352,352,0,0,179
"Block Group 1, Census Tract 12, Greene County, Missouri: Summary level: 150, state:29> county:077> tract:001200> block group:1",579,350,350,341,9,0,229
"Block Group 3, Census Tract 12, Greene County, Missouri: Summary level: 150, state:29> county:077> tract:001200> block group:3",986,687,687,687,0,0,299
"Block Group 1, Census Tract 18, Greene County, Missouri: Summary level: 150, state:29> county:077> tract:001800> block group:1",947,474,474,432,42,0,473
"Block Group 3, Census Tract 18, Greene County, Missouri: Summary level: 150, state:29> county:077> tract:001800> block group:3",585,231,231,185,46,0,354
"Block Group 1, Census Tract 43.01, Greene County, Missouri: Summary level: 150, state:29> county:077> tract:004301> block group:1",3003,1962,1962,1942,20,0,1041
"Block Group 1, Census Tract 43.02, Greene County, Missouri: Summary level: 150, state:29> county:077> tract:004302> block group:1",1663,1130,1130,1112,18,0,533
"Block Group 1, Census Tract 52, Greene County, Missouri: Summary level: 150, state:29> county:077> tract:005200> block group:1",611,416,404,390,14,12,195
"Block Group 2, Census Tract 52, Greene County, Missouri: Summary level: 150, state:29> county:077> tract:005200> block group:2",1421,710,710,682,28,0,711
"Block Group 4, Census Tract 52, Greene County, Missouri: Summary level: 150, state:29> county:077> tract:005200> block group:4",1748,1126,1126,1104,22,0,622
"Block Group 2, Census Tract 31, Greene County, Missouri: Summary level: 150, state:29> county:077> tract:003100> block group:2",1338,776,776,714,62,0,562
"Block Group 1, Census Tract 31, Greene County, Missouri: Summary level: 150, state:29> county:077> tract:003100> block group:1",1173,553,553,445,108,0,620
"Block Group 1, Census Tract 40.03, Greene County, Missouri: Summary level: 150, state:29> county:077> tract:004003> block group:1",2168,1213,1213,1197,16,0,955
"Block Group 2, Census Tract 40.03, Greene County, Missouri: Summary level: 150, state:29> county:077> tract:004003> block group:2",1640,950,950,919,31,0,690
"Block Group 1, Census Tract 41.02, Greene County, Missouri: Summary level: 150, state:29> county:077> tract:004102> block group:1",3107,1913,1913,1882,31,0,1194
"Block Group 2, Census Tract 41.02, Greene County, Missouri: Summary level: 150, state:29> county:077> tract:004102> block group:2",3063,2132,2132,2032,100,0,931
"Block Group 1, Census Tract 7, Greene County, Missouri: Summary level: 150, state:29> county:077> tract:000700> block group:1",686,420,420,346,74,0,266
"Block Group 2, Census Tract 7, Greene County, Missouri: Summary level: 150, state:29> county:077> tract:000700> block group:2",882,520,520,484,36,0,362
"Block Group 3, Census Tract 7, Greene County, Missouri: Summary level: 150, state:29> county:077> tract:000700> block group:3",2651,961,961,913,48,0,1690
"Block Group 2, Census Tract 8, Greene County, Missouri: Summary level: 150, state:29> county:077> tract:000800> block group:2",1550,696,696,638,58,0,854
"Block Group 3, Census Tract 11, Greene County, Missouri: Summary level: 150, state:29> county:077> tract:001100> block group:3",1241,532,532,510,22,0,709
"Block Group 2, Census Tract 11, Greene County, Missouri: Summary level: 150, state:29> county:077> tract:001100> block group:2",735,373,373,340,33,0,362
"Block Group 1, Census Tract 1, Greene County, Missouri: Summary level: 150, state:29> county:077> tract:000100> block group:1",1383,873,873,812,61,0,510
"Block Group 1, Census Tract 6, Greene County, Missouri: Summary level: 150, state:29> county:077> tract:000600> block group:1",353,226,226,206,20,0,127
"Block Group 2, Census Tract 6, Greene County, Missouri: Summary level: 150, state:29> county:077> tract:000600> block group:2",701,463,463,442,21,0,238
"Block Group 1, Census Tract 14, Greene County, Missouri: Summary level: 150, state:29> county:077> tract:001400> block group:1",2299,1573,1542,1473,69,31,726
"Block Group 1, Census Tract 51, Greene County, Missouri: Summary level: 150, state:29> county:077> tract:005100> block group:1",1145,674,674,674,0,0,471
"Block Group 1, Census Tract 27, Greene County, Missouri: Summary level: 150, state:29> county:077> tract:002700> block group:1",1044,545,545,545,0,0,499
"Block Group 1, Census Tract 10, Greene County, Missouri: Summary level: 150, state:29> county:077> tract:001000> block group:1",867,478,478,469,9,0,389
"Block Group 1, Census Tract 48.03, Greene County, Missouri: Summary level: 150, state:29> county:077> tract:004803> block group:1",2583,1845,1845,1783,62,0,738
"Block Group 2, Census Tract 39, Greene County, Missouri: Summary level: 150, state:29> county:077> tract:003900> block group:2",727,580,580,580,0,0,147
"Block Group 1, Census Tract 39, Greene County, Missouri: Summary level: 150, state:29> county:077> tract:003900> block group:1",1845,1221,1221,1195,26,0,624
"Block Group 2, Census Tract 47, Greene County, Missouri: Summary level: 150, state:29> county:077> tract:004700> block group:2",487,226,226,226,0,0,261
"Block Group 2, Census Tract 45, Greene County, Missouri: Summary level: 150, state:29> county:077> tract:004500> block group:2",1193,767,753,700,53,14,426
"Block Group 3, Census Tract 46, Greene County, Missouri: Summary level: 150, state:29> county:077> tract:004600> block group:3",741,538,538,530,8,0,203
"Block Group 1, Census Tract 46, Greene County, Missouri: Summary level: 150, state:29> county:077> tract:004600> block group:1",1489,949,949,925,24,0,540
"Block Group 2, Census Tract 46, Greene County, Missouri: Summary level: 150, state:29> county:077> tract:004600> block group:2",856,655,655,616,39,0,201
"Block Group 3, Census Tract 48.01, Greene County, Missouri: Summary level: 150, state:29> county:077> tract:004801> block group:3",3235,2175,2175,2112,63,0,1060
"Block Group 1, Census Tract 48.01, Greene County, Missouri: Summary level: 150, state:29> county:077> tract:004801> block group:1",847,519,463,445,18,56,328
"Block Group 3, Census Tract 15, Greene County, Missouri: Summary level: 150, state:29> county:077> tract:001500> block group:3",1150,662,662,662,0,0,488
"Block Group 2, Census Tract 15, Greene County, Missouri: Summary level: 150, state:29> county:077> tract:001500> block group:2",1387,813,813,813,0,0,574
"Block Group 1, Census Tract 32, Greene County, Missouri: Summary level: 150, state:29> county:077> tract:003200> block group:1",1693,1071,1071,998,73,0,622
"Block Group 1, Census Tract 13.02, Greene County, Missouri: Summary level: 150, state:29> county:077> tract:001302> block group:1",807,377,377,370,7,0,430
"Block Group 3, Census Tract 30.02, Greene County, Missouri: Summary level: 150, state:29> county:077> tract:003002> block group:3",1297,872,872,806,66,0,425
